lna,a,A,omega,h,h2
-6.294216650390535,0.0018469555383958563,0.9999076494709919,-1.053875639231893,7609.691276092948,57907401.31744512
-6.2912236849947725,0.0018524916930367536,0.9999072339110641,-1.054286074466225,7574.060242815612,57366388.561800085
-6.288230718810228,0.0018580444434832648,0.9999068162688779,-1.0544770871190123,7538.600014582194,56830490.17985865
-6.285237751838532,0.0018636138394862126,0.9999063966642535,-1.0542619908428066,7503.309746325648,56299657.14930546
-6.282244784081284,0.0018691999309456207,0.9999059752553312,-1.0536503335161105,7468.188597456447,55773840.92717849
-6.2792518155400945,0.0018748027679110716,0.9999055521593596,-1.0528375043692322,7433.235731582169,55252993.441269904
-6.276258846216634,0.001880422400582073,0.9999051273943249,-1.0521079194446845,7398.450316298417,54737067.08273615
-6.273265876112643,0.00188605887930848,0.9999047008682284,-1.051700081935422,7363.831523135369,54226014.70112217
-6.270272905229913,0.0018917122545909855,0.9999042724198396,-1.0516974822198,7329.378527668565,53719789.60184902
-6.267279933570239,0.001897382577081653,0.9999038418907352,-1.0519947298903494,7295.090509727028,53218345.54510935
-6.264286961135375,0.0019030698975844673,0.9999034091945291,-1.0523516711844625,7260.966653588657,52721636.74452646
-6.261293987927005,0.0019087742670558336,0.9999029743514558,-1.0525074007149187,7227.0061480634395,52229617.864146754
-6.258301013946747,0.0019144957366050374,0.9999025374732803,-1.0522998848695178,7193.20818641948,51742244.013172224
-6.255308039196184,0.001920234357494638,0.9999020987066534,-1.0517366046994483,7159.57196618069,51259470.73892043
-6.252315063676916,0.0019259901811408367,0.9999016581617369,-1.0509860733551601,7126.096688881699,50781254.019290715
-6.249322087390591,0.001931763259113864,0.9999012158588435,-1.0502970361088804,7092.781559882388,50307550.256207645
-6.246329110338925,0.001937553643138418,0.9999007717167636,-1.049884370301316,7059.625788313237,49838316.27101729
-6.243336132523681,0.001943361385094153,0.9999003255870124,-1.049833991577854,7026.6285871621885,49373509.30192489
-6.240343153946631,0.0019491865370162254,0.9998998773175143,-1.050068438766235,6993.789173449406,48913087.00265813
-6.237350174609509,0.0019550291510958434,0.9998994268165586,-1.0503861470411484,6961.106768399932,48457007.441063344
-6.234357194513991,0.0019608892796807863,0.9998989740885595,-1.0505542771340268,6928.580597527869,48005229.096439645
-6.231364213661685,0.0019667669752758818,0.9998985192264602,-1.0504121883227997,6896.209890588476,47557710.85505032
-6.228371232054164,0.0019726622905434222,0.9998980623651967,-1.0499397373604538,6863.99388141414,47114412.00409075
-6.225378249693008,0.001978575278303555,0.9998976036176421,-1.0492618663155762,6831.931807700467,46675292.225069374
-6.222385266579835,0.001984505991534683,0.9998971430215196,-1.0485898779141067,6800.022910828285,46240311.58778958
-6.219392282716324,0.0019904544833739047,0.999896680520178,-1.0481272491419171,6768.266435788541,45809430.54582171
-6.216399298104205,0.0019964208071175053,0.9998962159847562,-1.047982001718001,6736.661631230213,45382609.93368932
-6.213406312745225,0.0020024050162214956,0.9998957492671277,-1.0481230927064735,6705.207749597472,44959810.96526199
-6.210413326641108,0.0020084071643021754,0.9998952802600429,-1.0483978715004483,6673.904047285315,44540995.23237131
-6.207420339793524,0.002014427305136675,0.9998948089384594,-1.0486008635955821,6642.749784737853,44126124.70263479
-6.2044273522040845,0.0020204654926634486,0.9998943353648323,-1.048562700712573,6611.744226440171,43715161.715864934
-6.2014343638743545,0.002026521780982735,0.9998938596569934,-1.0482207589320793,6580.8866408024005,43308068.9790915
-6.198441374805891,0.0020325962243569642,0.9998933819331693,-1.047642377627978,6550.176299979702,42904809.56081578
-6.195448385000279,0.0020386888772111734,0.9998929022579491,-1.0469926815813477,6519.612479697783,42505346.88543107
-6.1924553944591505,0.0020447997941334477,0.9998924206119344,-1.046462559807357,6489.194459148466,42109644.72864316
-6.189462403184194,0.002050929029875398,0.9998919368972248,-1.0461883297782708,6458.921520988405,41717667.21428717
-6.186469411177126,0.0020570766393527033,0.9998914509755714,-1.0461967689652616,6428.792951429709,41329378.812352315
-6.183476418439658,0.0020632426776456664,0.9998909627225193,-1.046397308229866,6398.808040373894,40944744.3375536
-6.180483424973464,0.00206942719999978,0.9998904720747004,-1.046622841860551,6368.9660815241805,40563728.947605476
-6.177490430780163,0.00207563026182626,0.9998899790509121,-1.0467005797762727,6339.266372422668,40186298.14052885
-6.174497435861323,0.0020818519187025303,0.9998894837389499,-1.046522838642966,6309.708214391734,39812417.75076253
-6.171504440218483,0.0020880922263726777,0.9998889862544255,-1.0460889352661806,6280.290912398713,39442053.94435786
