body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,10020307.726545027,1.5727998315091865,8.852126215992456e-10,8.834185992653785e-17,3.9698852054109217,3.9698852054109213,1.0000000000000002,1.118644965463416e-16
Earth,10046802.09207878,1.5769584197266961,8.828782323521205e-10,8.787654263123287e-17,3.9489748889653633,3.948974888965363,1.0000000000000002,1.1245683306089966e-16
Earth,10073366.51049157,1.5811280035303046,8.805499991098058e-10,8.74136762712544e-17,3.9281747120606783,3.928174712060678,1.0000000000000002,1.1305230607146245e-16
Earth,10100001.16700788,1.5853086119930748,8.782279056383379e-10,8.695324793695173e-17,3.9074840945660934,3.9074840945660925,1.0000000000000002,2.273018643723368e-16
Earth,10126706.247342007,1.5895002742649518,8.759119357465581e-10,8.649524478667106e-17,3.886902459406467,3.8869024594064667,1.0000000000000002,1.1425272810109967e-16
Earth,10153481.937699229,1.5937030195729445,8.7360207328601e-10,8.603965404639972e-17,3.8664292325462966,3.8664292325462966,1.0,0.0
Earth,10180328.42477718,1.5979168772213437,8.712983021508211e-10,8.55864630094084e-17,3.846063842973644,3.846063842973644,1.0,0.0
Earth,10207245.89576714,1.6021418765919226,8.690006062775913e-10,8.513565903589711e-17,3.8258057226842235,3.825805722684223,1.0000000000000002,1.1607730293698375e-16
Earth,10234234.538355306,1.6063780471441385,8.667089696452834e-10,8.468722955264303e-17,3.8056543066655792,3.805654306665579,1.0000000000000002,1.166919467888198e-16
Earth,10261294.540724201,1.610625418415351,8.644233762751034e-10,8.424116205264836e-17,3.7856090328812595,3.785609032881259,1.0000000000000002,1.173098452568047e-16
Earth,10288426.09155385,1.6148840200210093,8.621438102304002e-10,8.379744409479365e-17,3.7656693422552374,3.7656693422552374,1.0,0.0
Earth,10315629.38002318,1.6191538816548705,8.598702556165476e-10,8.335606330348944e-17,3.7458346786562564,3.745834678656256,1.0000000000000002,1.185554750668737e-16
Earth,10342904.595811298,1.6234350330892007,8.576026965808369e-10,8.291700736833167e-17,3.7261044888823474,3.7261044888823474,1.0,0.0
Earth,10370251.929098904,1.6277275041749968,8.553411173123588e-10,8.248026404375706e-17,3.706478222645339,3.706478222645339,1.0,0.0
Earth,10397671.570569476,1.6320313248421718,8.530855020419046e-10,8.204582114870372e-17,3.6869553325556095,3.6869553325556086,1.0000000000000002,2.4089752643802315e-16
Earth,10425163.711410703,1.6363465250997808,8.508358350418483e-10,8.161366656626973e-17,3.6675352741067395,3.6675352741067395,1.0,0.0
