catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,1298893,0.19616,39.9279,0.1359,54.1453401708069,39.7843333598294,39.92133664473536,39.79962786055731,39.90930089955962,39.811017942022104,0.02668458219270775,0.1435666401706044
DES,1479069,0.17267,39.59667,0.0994,101.21088705269847,39.484567936689025,39.62297203160889,39.5000232823233,39.60190707018236,39.481299483393116,-0.0032684532959095236,0.11210206331097794
DES,1578103,0.16008,39.39296,0.1643,37.04459687884454,39.307850736342274,39.44701748737786,39.323393690896765,39.42079396642286,39.278399628385074,-0.029451107957200406,0.08510926365772775
DES,1296321,0.18444,40.03362,0.1941,26.542934124949802,39.639212042086164,39.776910677518416,39.65458637341751,39.760465224687145,39.91749210400032,0.27828006191415255,0.39440795791383465
DES,1315259,0.22806,40.23671,0.1527,42.88663047892787,40.14210809651208,40.27725384673372,40.15718945153957,40.27629531619891,40.11777523151827,-0.024332864993809267,0.09460190348791997
DES,1302648,0.23171,40.15341,0.1707,34.31886827354472,40.18005820726075,40.314994625701715,40.19511555230657,40.31522002797135,40.03424036025372,-0.14581784700703082,-0.02664820726074879
DES,1291149,0.23057,42.30845,238.612,1.7563676855414718e-05,40.16826456431811,40.30326629339958,40.183329400157916,40.30312371798187,42.18935371730621,2.021089152988104,2.140185435681893
DES,1550021,0.20587,39.94322,0.1771,31.883271516983736,39.898600730986715,40.03503321816631,39.91382971746397,40.02651042274554,39.82571312011012,-0.07288761087659168,0.04461926901328184
DES,1315197,0.20823,39.99434,0.104,92.45562130177515,39.92561938049553,40.061913854187075,39.94083252853553,40.05422595751867,39.876681258141815,-0.04893812235371797,0.06872061950446806
DES,1315192,0.22714,40.14119,0.1618,38.198205906664974,40.132454637185944,40.26765325304456,40.14754205613174,40.2663936575902,40.02231443194659,-0.11014020523935386,0.008735362814057623
DES,1282114,0.21781,40.26232,0.1452,47.43148995590769,40.032472140745895,40.16820922973476,40.047621332345756,40.16383561209994,40.14404480150775,0.11157266076185124,0.22984785925410733
DES,1879256,0.24936,40.35571,0.2089,22.91517192909771,40.35617880284061,40.490112057631706,40.37112111524138,40.49582921072111,40.23540461290599,-0.12077418993462175,-0.000468802840607907
DES,1336687,0.2338,40.15655,0.22,20.66115702479339,40.20154233525149,40.33635918154776,40.2165859665052,40.33725498296961,40.03724587232416,-0.16429646292732514,-0.04499233525148583
DES,1295062,0.21839,40.05123,0.2672,14.006418301122306,40.038801356953144,40.17450484668426,40.05394669371083,40.17032806209224,39.932917479498585,-0.10588387745455918,0.012428643046852983
DES,1782065,0.20173,39.82988,0.1012,97.64251902076272,39.850504430235624,39.98717970248144,39.865761280906284,39.977174493225824,39.712639522037584,-0.13786490819803987,-0.020624430235621105
