x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,grad_A_x,g_stam_x_m_s2,g_newton_x_m_s2,ratio_STAM_to_newton_x,abs_error_x_m_s2
15978777.757951591,0.04156810030684597,15978777.757951591,368421222.2420484,5.554137133211688e-10,-3.474013492119626e-17,-1.561143808522045,-1.5611438085220448,1.0000000000000002,2.220446049250313e-16
16054018.692538507,0.04176383634895554,16054018.692538507,368345981.3074615,5.528120839621125e-10,-3.441525453743105e-17,-1.5465444121530958,-1.5465444121530953,1.0000000000000002,4.440892098500626e-16
16129259.627125425,0.041959572391065104,16129259.627125425,368270740.37287456,5.502347277286911e-10,-3.409491011237621e-17,-1.5321488516032207,-1.5321488516032202,1.0000000000000002,4.440892098500626e-16
16204500.561712343,0.04215530843317467,16204500.561712343,368195499.4382877,5.476813065054454e-10,-3.377901759624353e-17,-1.517953349863298,-1.5179533498632978,1.0000000000000002,2.220446049250313e-16
16279741.49629926,0.04235104447528423,16279741.49629926,368120258.50370073,5.451514884276598e-10,-3.3467494877032454e-17,-1.5039542170040414,-1.5039542170040414,1.0,0.0
16354982.430886177,0.0425467805173938,16354982.430886177,368045017.56911385,5.426449477375804e-10,-3.3160261727164885e-17,-1.4901478477778864,-1.4901478477778864,1.0,0.0
16430223.365473095,0.04274251655950337,16430223.365473095,367969776.6345269,5.401613646445835e-10,-3.285723975182673e-17,-1.476530719297575,-1.4765307192975747,1.0000000000000002,2.220446049250313e-16
16505464.300060011,0.042938252601612936,16505464.300060011,367894535.69993997,5.377004251891678e-10,-3.2558352338954015e-17,-1.463099388788645,-1.4630993887886448,1.0000000000000002,2.220446049250313e-16
16580705.23464693,0.043133988643722504,16580705.23464693,367819294.7653531,5.352618211106505e-10,-3.226352461080416e-17,-1.4498504914131505,-1.4498504914131503,1.0000000000000002,2.220446049250313e-16
16655946.169233847,0.04332972468583207,16655946.169233847,367744053.83076614,5.32845249718449e-10,-3.197268337705514e-17,-1.4367807381620434,-1.436780738162043,1.0000000000000002,4.440892098500626e-16
16731187.103820764,0.04352546072794163,16731187.103820764,367668812.89617926,5.304504137668367e-10,-3.168575708937766e-17,-1.4238869138137502,-1.4238869138137504,0.9999999999999999,2.220446049250313e-16
16806428.038407683,0.04372119677005121,16806428.038407683,367593571.9615923,5.280770213330609e-10,-3.140267579742789e-17,-1.411165874956582,-1.4111658749565819,1.0000000000000002,2.220446049250313e-16
16881668.9729946,0.04391693281216077,16881668.9729946,367518331.0270054,5.257247856987225e-10,-3.112337110621001e-17,-1.3986145480727041,-1.3986145480727041,1.0,0.0
16956909.907581516,0.04411266885427033,16956909.907581516,367443090.0924185,5.233934252343122e-10,-3.084777613476013e-17,-1.3862299276814838,-1.3862299276814833,1.0000000000000002,4.440892098500626e-16
17032150.842168435,0.044308404896379903,17032150.842168435,367367849.15783155,5.210826632868073e-10,-3.057582547610501e-17,-1.3740090745401248,-1.374009074540125,0.9999999999999999,2.220446049250313e-16
17107391.77675535,0.04450414093848947,17107391.77675535,367292608.22324467,5.187922280702355e-10,-3.0307455158450955e-17,-1.3619491138995836,-1.3619491138995836,1.0,0.0
17182632.711342268,0.04469987698059903,17182632.711342268,367217367.2886577,5.165218525591129e-10,-3.004260260755946e-17,-1.3500472338138143,-1.3500472338138143,1.0,0.0
17257873.645929188,0.04489561302270861,17257873.645929188,367142126.3540708,5.142712743846703e-10,-2.978120661026883e-17,-1.338300683500513,-1.3383006835005125,1.0000000000000002,4.440892098500626e-16
17333114.580516104,0.04509134906481817,17333114.580516104,367066885.4194839,5.120402357337819e-10,-2.952320727912171e-17,-1.3267067717515575,-1.3267067717515573,1.0000000000000002,2.220446049250313e-16
17408355.51510302,0.04528708510692773,17408355.51510302,366991644.48489696,5.098284832505155e-10,-2.926854601806056e-17,-1.3152628653914396,-1.3152628653914393,1.0000000000000002,2.220446049250313e-16
17483596.44968994,0.0454828211490373,17483596.44968994,366916403.5503101,5.07635767940224e-10,-2.901716548915415e-17,-1.3039663877820278,-1.3039663877820276,1.0000000000000002,2.220446049250313e-16
