body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,6512201.277011598,1.02216312619865,1.362074434516945e-09,2.091572997482644e-16,-2.0915729976737705e-16,2.0915729976737705e-16,9.399060315968073,9.399060315968075,9.399060316826954,1.0000000000000002,1.0000000000913793
Earth,6526492.392584825,1.024406277285328,1.3590918886114084e-09,2.082423156051728e-16,-2.0824231562467315e-16,2.0824231562467315e-16,9.357942979114792,9.357942979114794,9.357942979991096,1.0000000000000002,1.0000000000936426
Earth,6540814.870208385,1.02665435099802,1.3561158736118617e-09,2.0733133417192355e-16,-2.0733133419264745e-16,2.0733133419264745e-16,9.3170055150715,9.3170055150715,9.317005516002785,1.0,1.0000000000999554
Earth,6555168.77870676,1.028907358139501,1.3531463752175184e-09,2.0642433793817202e-16,-2.0642433795950992e-16,2.0642433795950992e-16,9.276247136962551,9.276247136962551,9.276247137921429,1.0,1.000000000103369
Earth,6569554.187055424,1.031165309536246,1.3501833791589163e-09,2.0552130947017722e-16,-2.0552130949161454e-16,2.0552130949161454e-16,9.235667061354697,9.235667061354697,9.235667062318042,1.0,1.000000000104307
Earth,6583971.164381219,1.0334282160384898,1.3472268711978386e-09,2.0462223141046442e-16,-2.0462223142997566e-16,2.0462223142997566e-16,9.19526450824192,9.19526450824192,9.195264509118712,1.0,1.0000000000953526
Earth,6598419.77996273,1.035696088520284,1.3442768371272373e-09,2.0372708647748845e-16,-2.03727086499363e-16,2.03727086499363e-16,9.15503870103031,9.15503870103031,9.155038702013304,1.0,1.000000000107372
Earth,6612900.1032305155,1.0379689378795347,1.341333262771186e-09,2.0283585746530808e-16,-2.028358574860072e-16,2.028358574860072e-16,9.114988866523431,9.114988866523431,9.114988867453603,1.0,1.0000000001020486
Earth,6627412.203767561,1.0402467750380728,1.3383961339847869e-09,2.0194852724324787e-16,-2.0194852726395297e-16,2.0194852726395297e-16,9.075114234907115,9.075114234907115,9.075114235837557,1.0,1.0000000001025267
Earth,6641956.151309494,1.042529610941688,1.3354654366541273e-09,2.0106507875557622e-16,-2.0106507877436915e-16,2.0106507877436915e-16,9.03541403973501,9.035414039735011,9.035414040579523,1.0000000000000002,1.000000000093467
Earth,6656532.015745033,1.0448174565601998,1.332541156696189e-09,2.0018549502117047e-16,-2.0018549504084594e-16,2.0018549504084594e-16,8.995887517913518,8.995887517913518,8.99588751879769,1.0,1.0000000000982863
Earth,6671139.867116214,1.0471103228874923,1.329623280058802e-09,1.9930975913319722e-16,-1.9930975915349764e-16,1.9930975915349764e-16,8.956533909687435,8.956533909687437,8.956533910599692,1.0000000000000002,1.0000000001018539
Earth,6685779.775618836,1.0494082209415847,1.3267117927205556e-09,1.9843785425878089e-16,-1.9843785427646187e-16,1.9843785427646187e-16,8.917352458625059,8.917352458625059,8.917352459419602,1.0,1.0000000000891007
Earth,6700451.811602691,1.0517111617646666,1.3238066806907528e-09,1.9756976363868654e-16,-1.9756976365839064e-16,1.9756976365839064e-16,8.878342411603926,8.878342411603926,8.878342412489385,1.0,1.0000000000997324
Earth,6715156.045572005,1.0540191564231682,1.3209079300093217e-09,1.9670547058699142e-16,-1.9670547060584027e-16,1.9670547060584027e-16,8.839503018796064,8.839503018796064,8.83950301964309,1.0,1.0000000000958227
Earth,6729892.548185675,1.056332216007797,1.3180155267467693e-09,1.9584495849077048e-16,-1.9584495851078719e-16,1.9584495851078719e-16,8.80083353365385,8.800833533653853,8.800833534553359,1.0000000000000002,1.0000000001022071
Earth,6744661.390257714,1.0586503516336077,1.3151294570040931e-09,1.9498821080977081e-16,-1.949882108287171e-16,1.949882108287171e-16,8.762333212895392,8.762333212895392,8.762333213746796,1.0,1.0000000000971665
Earth,6759462.642757482,1.060973574440038,1.312249706912737e-09,1.9413521107610008e-16,-1.9413521109524697e-16,1.9413521109524697e-16,8.724001316490506,8.724001316490508,8.724001317350925,1.0000000000000002,1.0000000000986267
