trial,correction_mode,model,n_test,z_min,z_max,weighted_mean_resid,weighted_rmse,weighted_mae,mean_resid,median_resid,alpha,beta_z,gamma_z2
222,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02512,0.98846,-0.22454791331014165,0.3690844039110506,0.2623654820647657,-0.11201629069442146,-0.10393970787340834,,,
222,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02512,0.98846,-0.2354880376251144,0.34779628938933754,0.2608100432141602,-0.13616519100291422,-0.13959707360872642,,,
222,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02512,0.98846,-0.08497937770185936,0.26699099952480454,0.2138210875185162,0.02298149288024468,0.02123042751950166,0.4996252211281755,-0.6990554530704041,
222,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02512,0.98846,-0.09911759194776039,0.27289384944167266,0.21761721701308784,0.009187238207693897,0.007700230843667555,0.4996252211281755,-0.6990554530704041,
222,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02512,0.98846,-0.21185605570341356,0.33792432843172004,0.2698944913070381,-0.10089152940692363,-0.10066903494993085,0.4996252211281755,-0.6990554530704041,
222,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02512,0.98846,-0.2227961800183863,0.31855833982387366,0.2639773049201308,-0.1250404297154164,-0.1437043426124589,0.4996252211281755,-0.6990554530704041,
222,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02512,0.98846,-0.09679101128622083,0.3018429909292421,0.23217797286622238,0.018913661550641826,0.034824015728005975,0.6996101460351565,-2.608235553344916,2.592277617828446
222,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.02512,0.98846,-0.11092922553212187,0.3075048530151888,0.2348593439686501,0.005119406878091044,0.021374584380208006,0.6996101460351565,-2.608235553344916,2.592277617828446
222,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.02512,0.98846,-0.22366768928777506,0.369305900369189,0.27709415144884564,-0.10495936073652648,-0.08249660229015987,0.6996101460351565,-2.608235553344916,2.592277617828446
222,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02512,0.98846,-0.23460781360274782,0.34515827628376256,0.2705381551285089,-0.12910826104501924,-0.12281782616818049,0.6996101460351565,-2.608235553344916,2.592277617828446
222,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.02512,0.98846,0.13075610728813314,0.20507156728170345,0.16555065005045871,0.199219420481636,0.1632647582863811,,,
222,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.02512,0.98846,0.11661789304223212,0.19657045336135076,0.1569883334389589,0.1854251658090852,0.14960621939985685,,,
